cold_median_s,decision_grade,drift_pct,env,input,matches,max_s,median_s,min_s,mode,note,peak_rss_gb,size,stdev_s,steady_median_s,thrash_dropped,threads
,True,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,1618,13.758,12.165,11.27,size_sweep,,1.15,480,0.955,,,12
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,,,,,size_sweep,skipped_low_memory,,640,,,,12
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,,,,,size_sweep,skipped_low_memory,,1024,,,,12
20.804,,1.7,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,2824,25.463,21.077,10.628,drift,,,640,3.472,21.165,0,12
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",noise,139,20.838,14.643,5.052,content,,,640,6.013,,,12
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,2824,26.049,20.272,6.586,content,,,640,7.782,,,12
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,2824,16.835,15.772,9.662,thread_sweep,,,640,3.271,,,4
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,2824,25.079,17.809,13.332,thread_sweep,,,640,5.371,,,6
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,2824,20.777,20.019,6.395,thread_sweep,,,640,6.948,,,8
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,2824,20.516,20.152,19.97,thread_sweep,,,640,0.231,,,10
,,,"{""python"": ""3.12.5"", ""torch"": ""2.13.0+cpu"", ""kornia"": ""0.8.3"", ""cuda_available"": false, ""cpu"": ""Intel64 Family 6 Model 186 Stepping 2, GenuineIntel"", ""cores_physical"": 12, ""cores_logical"": 16, ""ram_total_gb"": 16.79, ""ram_available_gb"": 3.26, ""on_ac_power"": false, ""os"": ""Windows 11""}",lunar,2824,20.881,19.955,14.659,thread_sweep,,,640,2.838,,,12
