matcher,true_dx,true_dy,n_matches,n_refined,median_err_raw_px,median_err_rounded_src_px,median_err_refined_px,p90_err_refined_px,median_err_refined_m,refined_vs_raw_x,verdict,match_s,refine_s
LoFTR,0.1,0.1,5776,5776,0.1227,0.1227,0.1152,0.1634,0.02646,1.07,helps,21.4,0.8
LoFTR,0.25,0.0,5776,5776,0.2067,0.2067,0.1741,0.2596,0.04001,1.19,helps,17.9,0.79
LoFTR,0.37,-0.62,5664,5523,0.3287,0.3287,0.3426,0.5295,0.07873,0.96,HURTS,17.8,0.74
LoFTR,-0.25,0.44,5708,5625,0.2731,0.2731,0.2875,0.4923,0.06607,0.95,HURTS,18.0,0.75
LoFTR,0.5,0.5,5649,5331,0.336,0.336,0.4307,0.6393,0.09897,0.78,HURTS,19.1,0.77
SIFT,0.1,0.1,2722,2632,0.153,0.4246,0.109,0.1618,0.02506,1.4,helps,1.3,0.32
SIFT,0.25,0.0,1865,1800,0.2376,0.4577,0.1595,0.2451,0.03666,1.49,helps,0.9,0.21
SIFT,0.37,-0.62,1428,1379,0.2851,0.4808,0.3395,0.5578,0.078,0.84,HURTS,0.9,0.19
SIFT,-0.25,0.44,1442,1394,0.3401,0.5114,0.2826,0.4986,0.06493,1.2,helps,1.1,0.2
SIFT,0.5,0.5,1340,1289,0.2865,0.4955,0.428,0.6329,0.09834,0.67,HURTS,1.0,0.16
ORB,0.1,0.1,3018,2965,0.1414,0.3843,0.1107,0.1665,0.02544,1.28,helps,1.2,0.38
ORB,0.25,0.0,2322,2210,0.25,0.4908,0.1634,0.2791,0.03755,1.53,helps,0.3,0.28
ORB,0.37,-0.62,1771,1657,0.722,0.8839,0.3431,0.5743,0.07883,2.1,helps,0.3,0.23
ORB,-0.25,0.44,1912,1804,0.5061,0.7269,0.2997,0.506,0.06887,1.69,helps,0.3,0.25
ORB,0.5,0.5,1734,1626,0.7071,0.8825,0.4371,0.6477,0.10043,1.62,helps,0.3,0.23
AKAZE,0.1,0.1,2239,2230,0.2435,0.4421,0.11,0.1661,0.02528,2.21,helps,0.7,0.29
AKAZE,0.25,0.0,1937,1924,0.3264,0.499,0.1635,0.2538,0.03757,2.0,helps,0.4,0.24
AKAZE,0.37,-0.62,1768,1749,0.4044,0.5597,0.3394,0.5694,0.07799,1.19,helps,0.4,0.21
AKAZE,-0.25,0.44,1775,1762,0.3947,0.5437,0.29,0.5075,0.06663,1.36,helps,0.4,0.22
AKAZE,0.5,0.5,1726,1708,0.4198,0.5779,0.4243,0.6422,0.09749,0.99,HURTS,0.5,0.22
