group,state,n,median_px,p90_px,max_px,frac_under_0p5px,frac_under_1px,median_m
all,verified,926,0.16185041517019272,0.4348890632390976,2.0097901821136475,0.9190064794816415,0.9751619870410367,9.711024910211563
all,weak,237,0.36316147446632385,1.297332239151001,3.912604808807373,0.5907172995780591,0.8312236286919831,21.78968846797943
all,no_evidence,117,0.765761137008667,2.6671918869018554,4.867664813995361,0.358974358974359,0.6410256410256411,45.94566822052002
d000,verified,300,0.09291793778538704,0.33221715092659,0.48337075114250183,1.0,1.0,5.575076267123222
d000,weak,20,0.10155576840043068,0.29764591157436376,0.3719591200351715,1.0,1.0,6.093346104025841
d000,no_evidence,0,,,,,,
d015,verified,294,0.08811473101377487,0.24014736115932458,0.4601176083087921,1.0,1.0,5.286883860826492
d015,weak,26,0.09875023737549782,0.26332826912403107,0.3714592158794403,1.0,1.0,5.925014242529869
d015,no_evidence,0,,,,,,
d030,verified,223,0.20512942969799042,0.3909892797470093,0.7925747632980347,0.9641255605381166,1.0,12.307765781879425
d030,weak,69,0.27274957299232483,0.5144778609275819,0.9652671217918396,0.8695652173913043,1.0,16.36497437953949
d030,no_evidence,28,0.38993968069553375,0.7115687847137452,0.8992564678192139,0.6428571428571429,1.0,23.396380841732025
d045,verified,109,0.579668402671814,1.1419085025787354,2.0097901821136475,0.3853211009174312,0.7889908256880734,34.78010416030884
d045,weak,122,0.7545928657054901,1.6455712318420412,3.912604808807373,0.2786885245901639,0.6721311475409836,45.27557194232941
d045,no_evidence,89,0.9724332094192505,2.7625241756439207,4.867664813995361,0.2696629213483146,0.5280898876404494,58.34599256515503
