scene,image_id,start_time,map_resolution_m,sun_azimuth_deg,incidence_deg,emission_deg,phase_deg
S1,M1389516184RE,2021-10-22 04:28:36.868,1.0015777946681,173.5970506701368,43.42434262371572,1.17,43.24
S1,M1164944600RE,2014-09-09 23:28:53.922,1.5295192605829,164.9269496945308,45.96606300333069,19.37,53.53
S1,M1328449896RE,2019-11-15 09:37:09.306,1.0730191372075,206.7869866873427,46.13788759709078,1.18,45.62
S1,M1317830479LE,2019-07-15 11:46:52.210,1.008609383638,129.1483724886325,56.72582228671962,1.73,57.94
S1,M1144950543LE,2014-01-21 13:34:36.746,1.5562229208605,236.9373097884186,58.69249670598614,17.16,45.87
S1,M1259058367LE,2017-09-03 06:11:39.820,1.1300839118757,118.5758742106653,63.17704233834155,1.75,64.69
S1,M1154358210RE,2014-05-10 10:49:03.426,1.4717472062025,106.4450312242163,74.48807717415653,1.2,73.38
S1,M1142582775RE,2013-12-25 03:51:48.697,1.4978075549416,258.6064613490558,76.62911312613564,2.13,74.66
S1,M102285549LE,2009-07-15 08:24:42.395,1.6929031199929,261.0909195171618,80.62815933547276,1.79,82.61
S1,M1276733320LE,2018-03-26 19:54:13.121,1.1214956260514,97.0550400297629,84.53510595072356,1.75,86.25
S2,M1134046721RE,2013-09-17 08:44:14.269,0.99779899868355,103.6605500842727,7.412362364452974,1.18,6.12
S2,M1116372683LE,2013-02-24 19:16:56.533,0.97157865269766,273.2016560645263,15.75043137894015,8.44,7.25
S2,M122054682RE,2010-03-01 03:50:15.616,0.43476891696222,271.3194561766161,27.66617454143081,8.96,36.64
S2,M175124932RE,2011-11-05 09:34:24.703,0.25825734072759,92.09629425522785,40.98601131520651,1.12,39.86
S2,M1114021499RE,2013-01-28 14:10:31.807,1.0374792689826,271.4810826698406,44.61408810390905,22.43,22.13
S2,M1129340193RE,2013-07-24 21:22:06.081,1.0239154808343,267.336033137641,47.47548858750153,14.26,33.27
S2,M113799518RE,2009-11-25 14:44:11.226,0.51158234759805,91.98772190509303,54.22136279402531,17.3,36.93
S2,M150361817RE,2011-01-22 18:55:49.626,0.4085620930940099,270.5392723471159,62.58919710590085,9.41,72.02
S2,M102014464RE,2009-07-12 05:06:37.568,1.2050139369283,270.2021933809719,81.75551118463656,22.55,59.21
S2,M1277607697LE,2018-04-05 22:47:10.048,0.8845536687230099,268.5082437341583,84.92957906146071,1.72,86.68
S3,M108374740RE,2009-09-23 19:51:13.396,0.61962324231055,358.6489725472707,87.41773339103266,1.13,88.55
S3,M113271747RE,2009-11-19 12:08:00.596,0.84709499538501,28.29816983821145,87.66227895728834,1.14,87.54
S3,M113040796LE,2009-11-16 19:58:50.250,0.9339242183500601,60.91435167400112,88.1085548085506,1.7,90.01
S3,M175011897LE,2011-11-04 02:10:30.311,0.7862375313098899,316.5487643646578,88.24785856736162,1.69,88.77
S3,M112938905RE,2009-11-15 15:40:38.960,0.94625860362041,75.30169004323194,88.37534775963073,1.14,87.15
S3,M146535043RE,2010-12-09 11:56:15.887,0.87132938504098,15.4430706322177,88.43279398551181,1.15,87.53
S3,M115701210RE,2009-12-17 14:59:04.117,0.8743773930102499,46.33913328584849,88.49261063385143,1.15,87.44
S3,M177361050RE,2011-12-01 06:43:03.120,0.8224719633811501,345.6943589980166,88.69101386330767,1.15,87.95
S3,M1103454419LE,2012-09-28 06:52:32.385,0.57690209996238,263.2814213114701,88.90457398402017,1.68,88.9
S3,M167880447LE,2011-08-13 13:13:00.456,0.9151570135388999,243.3958320110802,89.15884813863012,1.71,89.42
S3,M1101147258LE,2012-09-01 13:59:51.445,0.55075100267353,229.1871730330109,89.2448734667348,1.68,89.36
S3,M103776992LE,2009-08-01 14:42:04.978,0.60307125518065,288.3922931257703,89.36505555268258,1.68,91.08
S3,M170757625RE,2011-09-15 20:25:58.764,0.62304981558856,196.9325997086703,89.5666379751029,1.14,88.41
S3,M140218222LE,2010-09-27 09:15:55.571,0.7011542160959001,185.8609167961406,89.62840500648792,1.69,89.15
S3,M180020733LE,2012-01-01 01:31:06.661,0.54714825446151,331.3627888177407,89.6519256887188,1.66,91.22
S3,M149627257RE,2011-01-14 06:53:10.260,0.6585093116772,300.2447873300845,89.94288611988748,1.14,89.11
S3,M165539130RE,2011-07-17 10:51:03.855,0.87341800243723,214.6123656812566,90.10465798646653,1.14,88.54
S3,M133154995LE,2010-07-07 15:15:28.224,0.71017620065365,104.2681484394635,90.215514855929,1.69,91.83
S3,M101336051RE,2009-07-04 08:39:44.507,0.61881172717326,273.7287089714272,90.42795530364648,1.13,89.29
S3,M189399105RE,2012-04-18 14:37:18.171,0.56295632487949,90.26337197387953,90.94996922328845,1.13,89.08
S3,M191565043LE,2012-05-13 16:16:16.418,0.68903558030573,144.3622124327724,91.27090945430362,1.68,92.26
S3,M156026240RE,2011-03-29 08:22:53.875,0.93167678239504,119.1557045117392,92.10114497002523,1.15,91.17
