pair_id,gsd_ref_m,kind,displacement_m,displacement_px,direction_deg,contradicted,verdict,verified,weak,no_evidence,d_sun_azimuth_deg,ncc_true,cells_moved_2px,moved_not_verified,cells_under_1px,under_1px_verified,max_cell_displacement_px
sac_ohrc_nac_w01,1.622,translation,0.0,0.0,225.0,False,agrees,43,13,8,173.5,-0.903,0,0,64,43,0.0
sac_ohrc_nac_w01,1.622,translation,0.0,0.0,149.1,False,agrees,43,13,8,173.5,-0.903,0,0,64,43,0.0
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,158.4,False,agrees,43,13,8,173.5,-0.903,0,0,64,43,0.617
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,350.2,False,agrees,39,17,8,173.5,-0.903,0,0,64,39,0.617
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,92.6,False,agrees,41,15,8,173.5,-0.903,0,0,64,41,0.617
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,332.5,False,agrees,39,17,8,173.5,-0.903,0,0,64,39,0.617
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,298.5,False,agrees,41,15,8,173.5,-0.903,0,0,64,41,0.617
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,298.5,False,agrees,41,15,8,173.5,-0.903,0,0,64,41,0.617
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,176.5,False,agrees,43,13,8,173.5,-0.903,0,0,64,43,0.617
sac_ohrc_nac_w01,1.622,translation,1.0,0.617,148.1,False,agrees,43,13,8,173.5,-0.903,0,0,64,43,0.617
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,15.8,False,agrees,38,18,8,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,331.2,False,agrees,34,21,9,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,336.0,False,agrees,33,22,9,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,68.4,False,agrees,42,14,8,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,173.6,False,agrees,37,19,8,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,160.5,False,agrees,36,20,8,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,34.2,False,agrees,40,16,8,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,2.0,1.233,191.3,False,agrees,41,15,8,173.5,-0.903,0,0,0,0,1.233
sac_ohrc_nac_w01,1.622,translation,3.0,1.85,233.7,False,unconfirmed,30,26,8,173.5,-0.903,0,0,0,0,1.85
sac_ohrc_nac_w01,1.622,translation,3.0,1.85,118.8,False,unconfirmed,26,30,8,173.5,-0.903,0,0,0,0,1.85
