ProductId,UTCstart,UTCend,CenterLat,CenterLon,MinLat,MaxLat,WestLon,EastLon,ExtURL,ProdURL,FilesURL,LabelURL
nac.m1416037515re,2022-08-25T03:30:48.49600,2022-08-25T03:31:41.57000,-1.0,158.951,-84.78,-83.66,144.91,171.03,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1416037515RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1416037515re&product_idGeo=28910774,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1416037515re&product_idGeo=28910774,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0052C/DATA/ESM4/2022237/NAC/M1416037515RE.xml
nac.m1411379400re,2022-07-02T05:35:33.84700,2022-07-02T05:36:26.92200,-1.0,166.9979,-84.58,-82.93,154.87,176.65,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1411379400RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1411379400re&product_idGeo=28954581,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1411379400re&product_idGeo=28954581,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0052A/DATA/ESM4/2022183/NAC/M1411379400RE.xml
nac.m1382935872re,2021-08-07T00:36:45.47300,2021-08-07T00:37:38.54700,-1.0,145.4499,-84.65,-83.19,134.9,158.35,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1382935872RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1382935872re&product_idGeo=29194431,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1382935872re&product_idGeo=29194431,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048B/DATA/ESM4/2021219/NAC/M1382935872RE.xml
nac.m1382957012le,2021-08-07T06:29:05.46200,2021-08-07T06:29:58.53600,-1.0,153.2745,-84.72,-83.73,140.85,167.36,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1382957012LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1382957012le&product_idGeo=29195121,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1382957012le&product_idGeo=29195121,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048B/DATA/ESM4/2021219/NAC/M1382957012LE.xml
nac.m1382957012re,2021-08-07T06:29:05.46200,2021-08-07T06:29:58.53600,-1.0,152.8393,-84.86,-83.85,140.2,167.28,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1382957012RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1382957012re&product_idGeo=29195125,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1382957012re&product_idGeo=29195125,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048B/DATA/ESM4/2021219/NAC/M1382957012RE.xml
nac.m1382985183le,2021-08-07T14:18:36.32600,2021-08-07T14:19:29.40100,-1.0,155.7284,-84.7552,-84.06,142.23,170.34,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1382985183LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1382985183le&product_idGeo=29195798,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1382985183le&product_idGeo=29195798,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048B/DATA/ESM4/2021219/NAC/M1382985183LE.xml
nac.m1382985183re,2021-08-07T14:18:36.32600,2021-08-07T14:19:29.40100,-1.0,155.461,-84.8957,-84.19,141.67,170.47,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1382985183RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1382985183re&product_idGeo=29195801,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1382985183re&product_idGeo=29195801,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048B/DATA/ESM4/2021219/NAC/M1382985183RE.xml
nac.m1385618118le,2021-09-07T01:40:51.09100,2021-09-07T01:41:38.96200,-1.0,153.3469,-85.31,-84.01,140.08,164.26,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1385618118LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1385618118le&product_idGeo=29198777,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1385618118le&product_idGeo=29198777,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048C/DATA/ESM4/2021250/NAC/M1385618118LE.xml
nac.m1385618118re,2021-09-07T01:40:51.09100,2021-09-07T01:41:38.96200,-1.0,154.2031,-85.45,-84.12,140.62,165.25,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1385618118RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1385618118re&product_idGeo=29198780,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1385618118re&product_idGeo=29198780,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048C/DATA/ESM4/2021250/NAC/M1385618118RE.xml
nac.m1385667410re,2021-09-07T15:22:23.95800,2021-09-07T15:23:11.83000,-1.0,155.1989,-85.38,-83.76,142.92,164.7,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1385667410RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1385667410re&product_idGeo=29199996,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1385667410re&product_idGeo=29199996,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048C/DATA/ESM4/2021250/NAC/M1385667410RE.xml
