ps,category,ideas,cap,org,theme,deadline,title
SIH26001,Software,142,500,Ministry of Development of North Eastern Region (MDoNER),Disaster Management,30 September 2026,AI-Based early warning and landslide Risk Monitoring System in NER
SIH26002,Software,63,500,Ministry of Development of North Eastern Region (MDoNER),Transportation & Logistics,30 September 2026,Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER)
SIH26003,Software,94,500,Ministry of Development of North Eastern Region (MDoNER),MedTech / BioTech / HealthTech,30 September 2026,AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER)
SIH26004,Hardware,8,500,Ministry of Development of North Eastern Region (MDoNER),MedTech / BioTech / HealthTech,30 September 2026,Al-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in North Eastern Region (NER)
SIH26005,Hardware,54,500,Ministry of Development of North Eastern Region (MDoNER),"Agriculture, FoodTech & Rural Development",30 September 2026,Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in North Eastern Region (NER)
SIH26006,Software,23,500,Ministry of Steel,Transportation & Logistics,30 September 2026,Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India
SIH26007,Hardware,30,500,Ministry of Steel,Smart Automation,30 September 2026,Safe and Efficient Operation of Mine Vehicles in Fog and Low-Visibility Conditions in Open Cast Iron Ore Mines.
SIH26008,Hardware,17,500,Ministry of Steel,Smart Automation,30 September 2026,Belt Joint Rupture and Conveyor Belt Damages in Iron Ore Mining Industry: Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining Industry.
SIH26009,Software,10,500,Ministry of Steel,Space Technology,30 September 2026,Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.
SIH26010,Hardware,8,500,Ministry of Rural Development,"Agriculture, FoodTech & Rural Development",30 September 2026,Survey/Resurvey of Rural Agricultural Land in lndia
SIH26011,Software,15,500,Ministry of Rural Development,Smart Automation,30 September 2026,3D ULPIN Generation and vertical Property Mapping SYstem
SIH26012,Software,10,500,Ministry of Rural Development,Smart Automation,30 September 2026,AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery
SIH26013,Software,4,500,Ministry of Rural Development,Smart Automation,30 September 2026,Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.
SIH26014,Software,18,500,Ministry of Rural Development,"Agriculture, FoodTech & Rural Development",30 September 2026,An lntegrated GIS-based Digital Public lnfrastructure for Land Governance
SIH26015,Software,7,500,Ministry of Rural Development,"Agriculture, FoodTech & Rural Development",30 September 2026,Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.
SIH26016,Software,20,500,Ministry of Rural Development,Smart Automation,30 September 2026,Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support
SIH26017,Software,18,500,Ministry of Rural Development,Smart Automation,30 September 2026,Predictive Analytics System for Early Detection of Land Acquisition Delays
SIH26018,Software,38,500,Ministry of Rural Development,Smart Automation,30 September 2026,Intelligent Land Record Digitization and Validation System
SIH26019,Software,5,500,Ministry of Rural Development,Smart Automation,30 September 2026,"National Digital Platform for Research, Policy Innovation, and Evidence-Based Land Governance"
SIH26020,Hardware,5,500,Ministry of MSME,"Agriculture, FoodTech & Rural Development",30 September 2026,Design and Development of Innovative Hand-Spinning Equipment for Enhancing Khadi Artisan Productivity and Income
SIH26021,Software,19,500,Ministry of MSME,"Agriculture, FoodTech & Rural Development",30 September 2026,Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.
SIH26022,Hardware,25,500,Ministry of MSME,"Agriculture, FoodTech & Rural Development",30 September 2026,"Design and develop a smart, solar-powered drying and compact packaging system to support home-based agarbatti manufacturing by rural women artisans."
SIH26023,Software,4,500,Ministry of Coal,Smart Automation,30 September 2026,"AI-Powered Geological, Mining and other Reporting Solution for CMPDI/CIL subsidiaries"
SIH26024,Software,15,500,Ministry of Coal,Smart Automation,30 September 2026,AI-Based Smart Governance and Compliance Monitoring System for Coal Mines
SIH26025,Hardware,31,500,Ministry of Coal,Smart Automation,30 September 2026,"Development of an AI-enabled Low Cost Real Time Mine Subsidence Monitoring, Prediction and Early Warning System for Underground Coal Mines in India"
SIH26026,Hardware,15,500,Ministry of Railways,Blockchain & Cybersecurity,30 September 2026,Development of Mobile (Quadruped)/Handheld Device/System for Real-Time Detection of Narcotics and Explosives across Indian Railways.
SIH26027,Software,45,500,Ministry of Railways,Transportation & Logistics,30 September 2026,Al-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations on Indian Railways
SIH26028,Software,28,500,Ministry of Railways,Smart Automation,30 September 2026,Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains
SIH26029,Hardware,6,500,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,30 September 2026,Automated High-Current Short-Circuit Test System for IEC 60898-1:2015 MCB Compliance.
SIH26030,Hardware,2,500,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,30 September 2026,Automated Cable Specimen Preparation System for IS 10810 and IS 7098 Compliance.
SIH26031,Software,8,500,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,30 September 2026,"Quality assessment and grading of onions are often subjective and vary across procurement centers, resulting in disputes and inconsistencies."
SIH26032,Software,101,500,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,30 September 2026,"Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status."
SIH26033,Software,103,500,"Ministry of Consumer Affairs, Food & Public Distribution","Agriculture, FoodTech & Rural Development",30 September 2026,Multiple intermediaries reduce farmers earnings and increase consumer prices.
SIH26034,Software,115,500,"Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,30 September 2026,"Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels."
SIH26035,Software,5,500,"Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,30 September 2026,Development of a Software Program/Application for Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) as per OIML Recommendation R- 76
SIH26036,Software,18,500,"Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,30 September 2026,Development of an Online Verification System for Weighing and Measuring Instruments
SIH26037,Software,31,500,MathWorks,Smart Vehicles,30 September 2026,Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads
SIH26038,Software,58,500,MathWorks,MedTech / BioTech / HealthTech,30 September 2026,Explainable AI for Diabetic Retinopathy Screening in Rural India
SIH26039,Hardware,43,500,Government of Jharkhand,Smart Automation,30 September 2026,"Al-Powered Underground Mine Safety, Monitoring and Rescue System."
SIH26040,Hardware,59,500,Government of Jharkhand,Clean & Green Technology,30 September 2026,Smart Water Purification and Quality Monitoring System for Rural and Mining-Affected Areas.
SIH26041,Software,8,500,Government of Jharkhand,Smart Education,30 September 2026,AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector
SIH26042,Software,43,500,Government of Jharkhand,Smart Education,30 September 2026,Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education
SIH26043,Software,59,500,Government of Jharkhand,Smart Education,30 September 2026,A digital platform to crowdsource societal challenges and facilitate collaborative problem solving through universities and industry partnerships
SIH26044,Software,90,500,Ministry of Ayush,Smart Automation,30 September 2026,"Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement"
SIH26045,Software,22,500,Ministry of Ayush,MedTech / BioTech / HealthTech,30 September 2026,"IP-SAKTI Sahayak a multilingual, RAG-based (source-cited) AI assistant for Intellectual Property and regulatory guidance in Ayurveda, across national and international regimes."
SIH26046,Software,8,500,Ministry of Ayush,MedTech / BioTech / HealthTech,30 September 2026,"AIIA Clinical Trials Dashboard - a real-time, cloud-based, GCP-compliant Clinical Trial Management System (CTMS) for Ayurveda research, with CDISC/FHIR-interoperable data, role-based KPIs, and integrated ethics, regulatory (CTRI / NDCT Rules 2019) and pharma covigilance tracking."
SIH26047,Software,169,500,Ministry of Ayush,MedTech / BioTech / HealthTech,30 September 2026,Patient Case-Taking Software
SIH26048,Hardware,3,500,Ministry of Ayush,MedTech / BioTech / HealthTech,30 September 2026,"iKwath - a pod-based smart Kwatha (Kadha) maker that prepares a fresh, AFI/API-standardized decoction from coarse powder (yavaku?a c?r?a) on demand, in the shortest practical time without altering the decoctions quality or yield"
SIH26049,Hardware,9,500,DRDO,Smart Automation,30 September 2026,"Modifications to improve the reliability, efficiency,and lifespan of electrical and electronic equipment and systems in the ambient condition of subzero temperature and low pressure of High Altitude Areas(HAA) and Super High Altitude Areas (SHAA) of Ladakh region."
SIH26050,Hardware,18,500,DRDO,Robotics and Drones,30 September 2026,High Altitude Performance Optimization and Robust Design of Anti-Drone System.
SIH26051,Software,16,500,DRDO,Miscellaneous,30 September 2026,Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.
SIH26052,Hardware,20,500,DRDO,Miscellaneous,30 September 2026,"To develop an AI/ML-enabled adaptive noise cancellation (ANC) system that effectively suppresses stationary, non-stationary, and impulsive defence noises while maintaining high speech intelligibility and real-time performance on embedded hardware."
SIH26053,Software,8,500,DRDO,Smart Vehicles,30 September 2026,Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception
SIH26054,Software,25,500,DRDO,Robotics and Drones,30 September 2026,"AI-Enabled Real-Time Digital Twin System for Health Monitoring, Fault Prediction and Mission Reliability Enhancement of Aero Piston Engines used in MALE UAVs."
SIH26055,Software,8,500,DRDO,Robotics and Drones,30 September 2026,Smart Scan strategy for Electronic Warfare
SIH26056,Software,18,500,MoSPI,Smart Automation,30 September 2026,Development of a Real-time Airfare Price Index for India through Automated Web Scraping of Airline and Online Travel Aggregator Portals for Augmentation of the Consumer Price Index (CPI).
SIH26057,Software,15,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,AI-Powered Automated Underwater Marine Debris and Anomaly Detection System using Side-Scan Sonar Imagery
SIH26058,Hardware,6,500,Ministry of Earth Sciences (MoES),Robotics and Drones,30 September 2026,"Development of a Low-Power, Real-Time Adaptive Software-Defined Sonar Transmitter Payload for Autonomous Underwater Vehicles (AUVs)"
SIH26059,Software,20,500,Ministry of Earth Sciences (MoES),Transportation & Logistics,30 September 2026,"AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory, and Navigation Decision Support System"
SIH26060,Software,6,500,Ministry of Earth Sciences (MoES),Smart Automation,30 September 2026,Digital Platform for efficient remote management of Indian Antarctic Research Stations
SIH26061,Software,16,500,Ministry of Earth Sciences (MoES),Clean & Green Technology,30 September 2026,AI-Driven Smart Energy Management System for Polar Research Stations
SIH26062,Software,1,500,Ministry of Earth Sciences (MoES),Smart Automation,30 September 2026,Integrated Polar Expedition Logistics and Asset Management System
SIH26063,Software,8,500,Ministry of Earth Sciences (MoES),Smart Education,30 September 2026,"Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal"
SIH26064,Hardware,6,500,Ministry of Earth Sciences (MoES),Robotics and Drones,30 September 2026,Low-Cost Deployable Seafloor Metal Detection Sensor for Ocean Resource Exploration
SIH26065,Hardware,10,500,Ministry of Earth Sciences (MoES),Robotics and Drones,30 September 2026,Autonomous Low-Cost Ocean Observation Platform for Polar and Southern Oceans
SIH26066,Software,15,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.
SIH26067,Software,10,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,Develop a web-based interactive 3D visualization platform that integrates numerical ocean model outputs and in-situ observations.
SIH26068,Software,70,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,"WeatherGPT: Conversational AI for Weather Forecasting, Alerts, and Climate Information"
SIH26069,Software,5,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,National Weather Big Data Analytics Platform
SIH26070,Software,19,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,"To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite data."
SIH26071,Software,17,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,"AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data."
SIH26072,Software,2,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,"AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data."
SIH26073,Software,12,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS)
SIH26074,Software,3,500,Ministry of Earth Sciences (MoES),"Agriculture, FoodTech & Rural Development",30 September 2026,Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological advisory services.
SIH26075,Software,22,500,Ministry of Earth Sciences (MoES),Smart Education,30 September 2026,"Participants are invited to design and develop **CAPACITY CONNECT A Digital Capacity Building and Learning Management Portal** to support organizational training, competency development, and knowledge sharing through a centralized web-based platform."
SIH26076,Software,17,500,Ministry of Earth Sciences (MoES),Smart Automation,30 September 2026,Development of personalized homepage for 'Mausam' mobile application:
SIH26077,Software,2,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting
SIH26078,Software,0,500,Ministry of Earth Sciences (MoES),Smart Automation,30 September 2026,AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts
SIH26079,Software,0,500,Ministry of Earth Sciences (MoES),Smart Automation,30 September 2026,AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts
SIH26080,Software,0,500,Ministry of Earth Sciences (MoES),Smart Automation,30 September 2026,Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts
SIH26081,Software,1,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,Hybrid AI–NWP Multi-Model Forecast Blending System
SIH26082,Software,12,500,Ministry of Earth Sciences (MoES),Clean & Green Technology,30 September 2026,Air Pollution–Weather Coupled Forecasting System (Delhi NCR Focus)
SIH26083,Software,24,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,Extreme Heatwave Early Warning and Human Thermal Stress Index
SIH26084,Software,1,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,"Convective scale nowcasting for Thunderstorms, Hail & Cloudbursts (06 hr)"
SIH26085,Software,23,500,Ministry of Earth Sciences (MoES),Disaster Management,30 September 2026,Urban Flood Nowcasting System (Drainage and Rainfall Coupling)
SIH26086,Software,1,500,Ministry of Earth Sciences (MoES),"Agriculture, FoodTech & Rural Development",30 September 2026,Hyperlocal Monsoon Onset & Break Prediction System (Block/Village Scale)
SIH26087,Hardware,5,500,Ministry of Cooperation,Smart Education,30 September 2026,"AI & LMS - Enabled Cooperative Capacity Building, ERP & Employment Ecosystem"
SIH26088,Hardware,5,500,Ministry of Cooperation,"Agriculture, FoodTech & Rural Development",30 September 2026,Multilingual Cooperative Governance & Legal Assistance Chatbot
SIH26089,Software,71,500,Ministry of Cooperation,"Agriculture, FoodTech & Rural Development",30 September 2026,Cooperative Gig Services Platform for Household & Community Services
SIH26090,Software,76,500,Ministry of Social Justice and Empowerment (MoSJE),Heritage & Culture,30 September 2026,AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans
SIH26091,Software,44,500,Ministry of Social Justice and Empowerment (MoSJE),"Agriculture, FoodTech & Rural Development",30 September 2026,AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs
SIH26092,Software,49,500,Ministry of Social Justice and Empowerment (MoSJE),Smart Automation,30 September 2026,AI-Driven Scheme Matching for Marginalized Entrepreneurs
SIH26093,Software,22,500,Ministry of Social Justice and Empowerment (MoSJE),MedTech / BioTech / HealthTech,30 September 2026,AI-Based Real-Time Stress and Trauma Assessment Module for Victims/Complainants Accessing NHAA (14566) and Integrated Portal
SIH26094,Software,20,500,Ministry of Social Justice and Empowerment (MoSJE),MedTech / BioTech / HealthTech,30 September 2026,AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities
SIH26095,Software,33,500,Ministry of Social Justice and Empowerment (MoSJE),Smart Automation,30 September 2026,Smart Real-Time Monitoring & Inspection Mobile App
SIH26096,Hardware,1,500,Ministry of Social Justice and Empowerment (MoSJE),Smart Education,30 September 2026,"Digital Heritage Archive for Memorials, Manuscripts & Ambedkar: AI-Powered Institutional Archive and Audio-Visual Knowledge Platform"
SIH26097,Software,5,500,Ministry of Social Justice and Empowerment (MoSJE),"Agriculture, FoodTech & Rural Development",30 September 2026,AI-Driven voice Assistant for livelihood Mapping and NSQF-Aligned Skilling Recommendations for SC Communities under GIA component of PM-AJAY
SIH26098,Hardware,6,500,Ministry of Defence (MoD),Smart Vehicles,30 September 2026,Development of a Low-Cost Precision Guidance and Smart Electronic Fuze System for a 155 mm Artillery Shell
SIH26099,Software,8,500,Ministry of Petroleum & Natural Gas,Smart Automation,30 September 2026,AI-Driven Standardization and Harmonization of Material Codes Across CPSEs
SIH26100,Software,27,500,Ministry of Petroleum & Natural Gas,Smart Automation,30 September 2026,AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement
SIH26101,Software,72,500,MoSPI,Smart Education,30 September 2026,"Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System."
SIH26102,Software,44,500,MoSPI,Smart Automation,30 September 2026,"Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd."
SIH26103,Software,25,500,MoSPI,Smart Automation,30 September 2026,Use case on web-based integrated project-monitoring platform
SIH26104,Software,101,500,All India Council for Technical Education (Cyber Security Cell),Blockchain & Cybersecurity,30 September 2026,AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks
SIH26105,Software,12,500,All India Council for Technical Education (Cyber Security Cell),Blockchain & Cybersecurity,30 September 2026,AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform
SIH26106,Software,65,500,All India Council for Technical Education (Cyber Security Cell),Blockchain & Cybersecurity,30 September 2026,"AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform"
SIH26107,Software,17,500,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,30 September 2026,Al-powered Intelligent Assistant for Indian Standards and BIS Services for Industries and Consumers
SIH26108,Software,4,500,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,30 September 2026,AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specifications
SIH26109,Hardware,10,500,"Ministry of Fisheries, Animal Husbandry & Dairying","Agriculture, FoodTech & Rural Development",30 September 2026,Al-Based Predictive Modelling for Early Forecasting of Bovine Mastitis in lndian Dairy Farms
SIH26110,Hardware,35,500,"Ministry of Fisheries, Animal Husbandry & Dairying","Agriculture, FoodTech & Rural Development",30 September 2026,Development of a Low-Cost Light-weight Milk Chilling Can for Small-Scale Dairy Farmers
SIH26111,Software,10,500,"Ministry of Fisheries, Animal Husbandry & Dairying","Agriculture, FoodTech & Rural Development",30 September 2026,Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers
SIH26112,Hardware,8,500,Autodesk,Robotics and Drones,30 September 2026,Design and Develop a Modular Autonomous Mobile Robot (AMR) Platform for Smart Warehouse Automation
SIH26113,Hardware,23,500,Autodesk,MedTech / BioTech / HealthTech,30 September 2026,"Human augmentation technologies are transforming healthcare,rehabilitation, industrial ergonomics, assistive living, sports, and personal mobility by improving human capabilities and enhancing quality of life."
SIH26114,Software,0,500,Autodesk,Miscellaneous,30 September 2026,Smart City Site Planning using Autodesk Forma Site Design
SIH26115,Software,15,500,Autodesk,MedTech / BioTech / HealthTech,30 September 2026,Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System
